"pa","mpc1","mpc2","mpc3"
3291,188795.580379944,188795.580379944,188795.580379944
3301,189656.742303035,189656.742303035,189656.742303035
3311,190519.209611524,190519.209611524,190519.209611524
3321,191382.98033263,191382.98033263,191382.98033263
3331,192248.05250249,192248.05250249,192248.05250249
3341,193114.424166089,193114.424166089,193114.424166089
3351,193982.093377198,193982.093377198,193982.093377198
3361,194851.058198307,194851.058198307,194851.058198307
3371,195721.316700558,195721.316700558,195721.316700558
3381,196592.866963682,196592.866963682,196592.866963682
3391,197465.707075938,197465.707075938,197465.707075938
3401,198339.835134045,198339.835134045,198339.835134045
3411,199215.249243124,199215.249243124,199215.249243124
3421,200091.947516635,200091.947516635,200091.947516635
3431,200969.928076317,200969.928076317,200969.928076317
3441,201849.189052124,201849.189052124,201849.189052124
3451,202729.728582169,202729.728582169,202729.728582169
3461,203611.544812665,203611.544812665,203611.544812665
3471,204494.635897864,204494.635897864,204494.635897864
3481,205379,205379,205379
3491,206264.635289232,206264.635289232,206264.635289232
3501,207151.539943588,207151.539943588,207151.539943588
3511,208039.712148907,208039.712148907,208039.712148907
3521,208929.150098783,208929.150098783,208929.150098783
3531,209819.851994515,209819.851994515,209819.851994515
3541,210711.816045043,210711.816045043,210711.816045043
3551,211605.040466904,211605.040466904,211605.040466904
3561,212499.523484172,212499.523484172,212499.523484172
3571,213395.263328407,213395.263328407,213395.263328407
3581,214292.258238603,214292.258238603,214292.258238603
3591,215190.506461135,215190.506461135,215190.506461135
3601,216090.006249711,216090.006249711,216090.006249711
3611,216990.755865313,216990.755865313,216990.755865313
3621,217892.753576157,217892.753576157,217892.753576157
3631,218795.997657635,218795.997657635,218795.997657635
3641,219700.48639227,219700.48639227,219700.48639227
3651,220606.218069664,220606.218069664,220606.218069664
3661,221513.190986451,221513.190986451,221513.190986451
3671,222421.403446251,222421.403446251,222421.403446251
3681,223330.853759618,223330.853759618,223330.853759618
3691,224241.540243997,224241.540243997,224241.540243997
3701,225153.461223673,225153.461223673,225153.461223673
3711,226066.61502973,226066.61502973,226066.61502973
3721,226981,226981,226981
3731,227896.614479022,227896.614479022,227896.614479022
3741,228813.456817994,228813.456817994,228813.456817994
3751,229731.52537473,229731.52537473,229731.52537473
3761,230650.818513614,230650.818513614,230650.818513614
3771,231571.33460556,231571.33460556,231571.33460556
3781,232493.072027964,232493.072027964,232493.072027964
3791,233416.029164666,233416.029164666,233416.029164666
3801,234340.204405902,234340.204405902,234340.204405902
3811,235265.596148268,235265.596148268,235265.596148268
3821,236192.202794673,236192.202794673,236192.202794673
3831,237120.022754301,237120.022754301,237120.022754301
3841,238049.054442567,238049.054442567,238049.054442567
3851,238979.29628108,238979.29628108,238979.29628108
3861,239910.7466976,239910.7466976,239910.7466976
3871,240843.404126001,240843.404126001,240843.404126001
3881,241777.267006226,241777.267006226,241777.267006226
3891,242712.333784256,242712.333784256,242712.333784256
